<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;60;24/03/20;160000;955.1800000;963.2400000;954.9900000;961.4500000;123220173
RTSI;60;24/03/20;170000;961.4200000;974.3700000;959.3700000;966.2000000;149312001
RTSI;60;24/03/20;180000;966.2300000;978.2300000;965.0000000;970.5200000;169606743
RTSI;60;24/03/20;190000;970.4300000;973.9100000;965.3200000;965.3200000;204984102
RTSI;60;25/03/20;110000;991.9400000;1022.4500000;991.9400000;1020.9500000;354327272
RTSI;60;25/03/20;120000;1021.0200000;1021.3500000;1009.1700000;1018.2700000;223078167
RTSI;60;25/03/20;130000;1018.3300000;1027.6200000;1003.8400000;1006.7200000;222576779
RTSI;60;25/03/20;140000;1006.6900000;1006.6900000;956.7100000;963.3000000;344621343
RTSI;60;25/03/20;150000;963.4600000;984.1600000;962.7900000;977.4300000;206400293
RTSI;60;25/03/20;160000;977.7400000;979.3700000;969.7700000;976.0900000;111055012
RTSI;60;25/03/20;170000;975.8800000;985.2400000;960.1900000;961.6900000;231486639
RTSI;60;25/03/20;180000;961.6800000;965.6800000;943.0200000;964.9600000;263513774
RTSI;60;25/03/20;190000;965.3200000;983.5100000;964.6100000;981.6900000;237287028
RTSI;60;26/03/20;110000;984.3500000;985.6700000;959.3100000;965.8600000;185555579
RTSI;60;26/03/20;120000;965.8100000;989.9300000;965.5100000;989.9300000;199035237
RTSI;60;26/03/20;130000;989.8700000;993.7600000;974.0500000;982.5800000;156951832
RTSI;60;26/03/20;140000;982.4800000;989.6700000;977.8600000;987.9900000;87052636
RTSI;60;26/03/20;150000;988.0200000;998.0900000;987.2900000;988.4800000;104770337
RTSI;60;26/03/20;160000;988.4800000;995.5000000;980.0100000;995.0600000;125204083
RTSI;60;26/03/20;170000;995.2100000;1010.8400000;993.1800000;1010.1400000;194086989
RTSI;60;26/03/20;180000;1010.1000000;1022.0200000;1008.2800000;1015.6400000;210506683
RTSI;60;26/03/20;190000;1015.4400000;1018.7700000;1010.2600000;1017.0300000;168584476
RTSI;60;27/03/20;110000;1014.1000000;1015.8900000;995.8300000;998.9600000;174344939
RTSI;60;27/03/20;120000;998.9100000;1004.6300000;990.5700000;994.7500000;151111302
RTSI;60;27/03/20;130000;994.7000000;999.9500000;986.0700000;986.5800000;112656415
RTSI;60;27/03/20;140000;986.5100000;989.3900000;982.7700000;986.7000000;84947121
RTSI;60;27/03/20;150000;986.5900000;992.4500000;976.2600000;977.8000000;95065839
RTSI;60;27/03/20;160000;977.8400000;977.8400000;964.8300000;964.8500000;119613287
RTSI;60;27/03/20;170000;964.9400000;965.6400000;950.1500000;953.6700000;173629138
RTSI;60;27/03/20;180000;953.7100000;960.3500000;945.2800000;953.3300000;151124930
RTSI;60;27/03/20;190000;953.1900000;963.5800000;953.1600000;955.3400000;147945567
RTSI;60;30/03/20;110000;950.2000000;950.2000000;926.8000000;939.0400000;272423787
RTSI;60;30/03/20;120000;939.0100000;956.7800000;938.5300000;944.6600000;159354807
RTSI;60;30/03/20;130000;944.5700000;957.2500000;943.0200000;950.2900000;111461981
RTSI;60;30/03/20;140000;950.3900000;956.0500000;949.4000000;950.6900000;67399075
RTSI;60;30/03/20;150000;950.6500000;951.5700000;943.8800000;948.6600000;63137124
RTSI;60;30/03/20;160000;948.6800000;959.0500000;944.1900000;957.6800000;77556023
RTSI;60;30/03/20;170000;957.6900000;962.6000000;952.5700000;955.6700000;116164355
RTSI;60;30/03/20;180000;955.8500000;961.8800000;953.4100000;957.7100000;90021073
RTSI;60;30/03/20;190000;957.7800000;959.0200000;953.2300000;958.5400000;95925949
RTSI;60;31/03/20;110000;980.0000000;999.8200000;979.9600000;998.9500000;265598366
RTSI;60;31/03/20;120000;998.9900000;1011.1500000;998.9900000;1007.0700000;163610945
RTSI;60;31/03/20;130000;1007.0900000;1014.5100000;1004.2900000;1012.7900000;144383254
RTSI;60;31/03/20;140000;1012.7900000;1012.8300000;999.0800000;1006.1200000;137002732
RTSI;60;31/03/20;150000;1006.0900000;1006.4200000;992.9000000;995.1500000;111419809
RTSI;60;31/03/20;160000;995.1000000;995.6300000;986.6900000;993.3300000;112683857
RTSI;60;31/03/20;170000;993.2600000;997.3300000;983.9100000;986.4700000;107801913
RTSI;60;31/03/20;180000;986.5200000;1006.7400000;986.3100000;1004.5900000;170102942
RTSI;60;31/03/20;190000;1004.5100000;1014.4400000;1000.4000000;1014.4400000;258588799
RTSI;60;01/04/20;110000;988.7100000;988.7100000;977.4800000;986.9500000;230462051
RTSI;60;01/04/20;120000;986.9400000;991.5500000;982.2200000;987.9900000;100768193
RTSI;60;01/04/20;130000;988.0400000;993.7900000;986.1600000;989.4600000;85182208
RTSI;60;01/04/20;140000;989.4700000;994.2800000;986.8100000;992.8500000;87068885
RTSI;60;01/04/20;150000;992.8400000;995.1800000;987.5800000;992.8600000;78530974
RTSI;60;01/04/20;160000;992.9300000;993.4300000;988.6500000;988.7500000;77709684
RTSI;60;01/04/20;170000;988.7400000;991.8100000;984.1000000;987.6800000;129839821
RTSI;60;01/04/20;180000;987.6800000;991.3300000;984.3900000;988.9700000;102384782
RTSI;60;01/04/20;190000;989.0000000;995.0700000;985.6700000;987.7500000;132070882
RTSI;60;02/04/20;110000;1013.2900000;1033.4400000;1008.2700000;1011.3200000;303510338
RTSI;60;02/04/20;120000;1011.3600000;1017.6800000;1008.1100000;1013.0500000;127368231
RTSI;60;02/04/20;130000;1013.1300000;1014.8300000;1010.3400000;1011.4200000;68925878
RTSI;60;02/04/20;140000;1011.4400000;1012.1500000;1006.7200000;1008.2500000;73424000
RTSI;60;02/04/20;150000;1008.3400000;1008.4500000;999.2200000;1004.8900000;88440602
RTSI;60;02/04/20;160000;1004.9200000;1005.6700000;996.4500000;996.5600000;96298176
RTSI;60;02/04/20;170000;996.5000000;997.0700000;984.8900000;985.0700000;150987927
RTSI;60;02/04/20;180000;985.2400000;1038.2000000;983.6300000;1027.8300000;508817772
RTSI;60;02/04/20;190000;1027.8100000;1037.9400000;1016.3300000;1034.0600000;323573833
RTSI;60;03/04/20;110000;1038.9200000;1052.3700000;1030.6400000;1047.8300000;326780208
RTSI;60;03/04/20;120000;1047.8500000;1061.6600000;1045.3900000;1056.6500000;177069250
